Client Name,Inv No,Inv Dt,Due Dt,Paid On,Amt (INR),CN?,Disputed?
Kwality Distributors,KWA-830,20 February 2024,21/03/2024,2024-03-25,"Rs.240,000.00",N,No
Kwality Distributors,KWA-845,08/03/2024,2024-04-07,14-Apr-24,"205,000",N,No
Kwality Distributors,KWA-860,2024-03-24,23-Apr-24,01 May 2024,230000,N,No
Kwality Distributors,KWA-875,10-Apr-24,10 May 2024,18/05/2024,"Rs.260,000.00",N,No
Kwality Distributors,KWA-890,27 April 2024,27/05/2024,2024-06-05,"215,000",N,No
Kwality Distributors,KWA-905,14/05/2024,2024-06-13,22-Jun-24,250000,N,No
Kwality Distributors,KWA-920,2024-05-30,29-Jun-24,09 July 2024,"Rs.235,000.00",N,No
Kwality Distributors,KWA-935,12-Jun-24,12 July 2024,,"275,000",N,No
Kwality Distributors,KWA-950,28 June 2024,28/07/2024,,260000,N,No
Kwality Distributors Pvt. Ltd.,KWA-965,10/07/2024,2024-08-09,05-Aug-24,"Rs.245,000.00",N,No
Kwality Distributors Pvt. Ltd.,KWA-980,2024-07-28,27-Aug-24,,"230,000",N,No
Vertex Pharma Retail,VTX-01,05-Jul-24,04 August 2024,30/07/2024,95000,N,No
Vertex Pharma Retail,VTX-02,20 July 2024,19/08/2024,,"Rs.120,000.00",N,No
Bright Health Distributors,BRT-01,10/01/2024,2024-02-09,01-Feb-24,"150,000",N,No
Bright Health Distributors,BRT-02,2024-01-25,24-Feb-24,15 February 2024,130000,N,No
Bright Health Distributors,BRT-03,08-Jul-24,07 August 2024,05/08/2024,"Rs.175,000.00",N,No
Bright Health Distributors,BRT-04,22 July 2024,21/08/2024,,"140,000",N,No
Falcon Pharma Wholesale,FAL-301,06/02/2024,2024-03-07,02-Mar-24,205000,N,No
Falcon Pharma Wholesale,FAL-315,2024-03-04,03-Apr-24,29 March 2024,"Rs.190,000.00",N,No
Falcon Pharma Wholesale,FAL-330,09-Apr-24,09 May 2024,04/05/2024,"225,000",N,No
Falcon Pharma Wholesale,FAL-344,06 May 2024,05/06/2024,2024-05-30,210000,N,No
Falcon Pharma Wholesale,FAL-359,03/06/2024,2024-07-03,28-Jun-24,"Rs.230,000.00",N,No
Falcon Pharma Wholesale,FAL-373,2024-07-01,31-Jul-24,26 July 2024,"215,000",N,No
,BAD-001,05/07/2024,04/08/2024,,150000,N,No
Orchid Pharma Distributors,BAD-002,not a date,04/08/2024,,150000,N,No
Sunrise Pharma Corp,BAD-003,10/07/2024,09/08/2024,,TBD,N,No
Neuland Traders,,12/07/2024,11/08/2024,,180000,N,No
Kwality Distributors,BAD-005,15/07/2024,14/08/2024,,200000,maybe,No
